numeroclient;referencetitre;montant;objet;dtepcepec;delaimisenligne;finmiseenligne;numerocontrat
005165;202300001615000001;54.18;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001665000001;29.80;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001620000001;74.24;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001623000001;55.39;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001624000001;57.27;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001627000001;55.38;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001628000001;59.74;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001634000001;29.20;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001635000001;38.98;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001602000001;42.84;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001644000001;32.68;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001650000001;35.12;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001651000001;101.72;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001704000001;49.01;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
005165;202300001700000001;105.56;FACTURE ENFANCE - MAI 2023;2023-11-20 00:00:00;60;2024-01-19;00298557
